availability,brand,category,color,currency,date,discount,name,picture,price,productid,url
in stock,Fendi,Shoulder Bag,Brown,€,2022-12-10,,Fendi Plastic Zucca Baguette,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_5783-3.jpg,544.00,fendi_plastic_zucca_baguette_4_20221210,https://luxurybyho.com/shop/fendi-plastic-zucca-baguette-4/
in stock,Bottega Veneta,Shoulder Bag,Brown,€,2022-12-10,,Bottega Veneta Large Cognac Brown Hobo,https://luxurybyho.com/wp-content/uploads/2022/08/IMG_8636.jpg,544.00,bottega_veneta_large_cognac_brown_hobo_3_20221210,https://luxurybyho.com/shop/bottega-veneta-large-cognac-brown-hobo-3/
in stock,Fendi,Accessories,Gold,€,2022-12-10,,Fendi Gold S Rhinestone Logo Ring,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_0398-2.jpg,544.00,fendi_gold_s_rhinestone_logo_ring_20221210,https://luxurybyho.com/shop/fendi-gold-s-rhinestone-logo-ring/
in stock,Fendi,Weekend Bag,Brown,€,2022-12-10,,Fendi 60 Zucca S.A.S. PVC Keepall,https://luxurybyho.com/wp-content/uploads/2022/09/IMG_2454-5-scaled.jpg,544.00,fendi_60_zucca_s_a_s_pvc_keepall_20221210,https://luxurybyho.com/shop/fendi-60-zucca-s-a-s-pvc-keepall/
in stock,Louis Vuitton,Weekend Bag,Brown,€,2022-12-10,,Louis Vuitton 50 Keepall,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_3169-5-scaled.jpg,544.00,louis_vuitton_50_keepall_10_20221210,https://luxurybyho.com/shop/louis-vuitton-50-keepall-10/
in stock,Louis Vuitton,Crossbody Bag,Brown,€,2022-12-10,,Louis Vuitton 26 Trocadero,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_7538-5-scaled.jpg,544.00,louis_vuitton_26_trocadero_3_20221210,https://luxurybyho.com/shop/louis-vuitton-26-trocadero-3/
in stock,Balenciaga,Crossbody Bag,Blue,€,2022-12-10,,Balenciaga Petrolium Blue Suede City,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_1441-5-scaled.jpg,544.00,balenciaga_petrolium_blue_suede_city_20221210,https://luxurybyho.com/shop/balenciaga-petrolium-blue-suede-city/
in stock,Prada,Belt Bag,Green,€,2022-12-10,,Prada Army Green Tactical Belt Bag,https://luxurybyho.com/wp-content/uploads/2022/11/IMG_3331-5-scaled.jpg,544.00,prada_army_green_tactical_belt_bag_20221210,https://luxurybyho.com/shop/prada-army-green-tactical-belt-bag/
in stock,Fendi,Shoulder Bag,"Blue, Grey",€,2022-12-10,,Fendi Grey & Navy Baguette,https://luxurybyho.com/wp-content/uploads/2022/10/IMG_3794-3-scaled.jpg,571.00,fendi_grey_navy_baguette_3_20221210,https://luxurybyho.com/shop/fendi-grey-navy-baguette-3/
in stock,Louis Vuitton,Weekend Bag,Brown,€,2022-12-10,,Louis Vuitton 50 Keepall,https://luxurybyho.com/wp-content/uploads/2022/06/IMG_4951-2.jpg,584.50,louis_vuitton_50_keepall_2_20221210,https://luxurybyho.com/shop/louis-vuitton-50-keepall-2/
